Vector
0
3944
2960
3984
4272
5432
5176
5400
5448
6920
6704
6712
6824
6824
6960
7008
7064
8752
8448
8504
8584
8784
8808
8952
8952
9016
9136
9192
9160
9272
9392
9336
9464
11160
11160
11032
11064
11152
11136
11288
11336
11376
11472
11624
11584
11664
11672
11880
11888
12016
