HAT
0
200
224
224
296
384
496
576
672
744
816
872
960
1040
1136
1240
1280
1384
1456
1552
1648
1704
1776
1848
1952
2008
2120
2184
2280
2368
2424
2512
2608
2672
2768
2848
2912
2952
3080
3152
3208
3320
3352
3472
3552
3624
3664
3784
3864
3944
