HAT,Vector
280,832
136,400
80,216
88,264
96,232
88,224
96,232
88,224
96,232
96,232
96,232
88,224
128,280
96,232
88,224
88,232
88,224
96,232
88,232
88,224
96,224
88,232
104,248
88,232
96,232
96,224
88,232
96,232
96,296
96,232
88,232
96,216
96,224
96,232
96,232
96,232
96,248
96,232
96,232
88,224
96,232
88,232
96,232
88,224
88,280
88,224
88,232
96,232
96,232
88,224
