HAT,Vector
312,5208
1424,7200
1352,3136
152,544
1848,3488
152,472
96,328
96,320
2776,4304
88,336
200,360
96,264
96,256
96,256
96,264
96,256
13792,15360
80,344
88,256
96,248
120,248
104,272
96,256
88,248
96,256
96,256
96,248
96,256
96,256
96,248
96,256
88,248
25424,27040
80,344
96,264
96,256
96,248
96,264
96,264
96,256
96,248
96,264
96,264
96,264
96,256
96,256
96,256
96,264
96,248
96,256
