Bi Skip List
4120
2008
1648
1664
1688
1736
1880
1696
1808
1784
1944
2072
2032
1920
1984
2024
2040
9904
2232
2224
2296
2312
2336
2432
2472
2440
2528
2584
2616
2616
2680
2600
2656
2696
2736
2776
2816
2896
2864
2968
2960
2976
10056
3480
3080
3096
3160
3160
3272
3272
